YEAR,GDP_CHANGE
1930,-8.5
1931,-6.4
1932,-12.9
1933,-1.3
1934,10.8
1935,8.9
1936,12.9
1937,5.1
1938,-3.3
1939,8.0
1940,8.8
1941,17.7
1942,18.9
1943,17.0
1944,8.0
1945,-1.0
1946,-11.6
1947,-1.1
1948,4.1
1949,-0.5
1950,8.7
1951,8.1
1952,4.1
1953,4.7
1954,-0.6
1955,7.1
1956,2.1
1957,2.1
1958,-0.7
1959,6.9
1960,2.6
1961,2.6
1962,6.1
1963,4.4
1964,5.8
1965,6.5
1966,6.6
1967,2.7
1968,4.9
1969,3.1
1970,0.2
1971,3.3
1972,5.2
1973,5.6
1974,-0.5
1975,-0.2
1976,5.4
1977,4.6
1978,5.6
1979,3.2
1980,-0.2
1981,2.6
1982,-1.9
1983,4.6
1984,7.3
1985,4.2
1986,3.5
1987,3.5
1988,4.2
1989,3.7
1990,1.9
1991,-0.1
1992,3.6
1993,2.7
1994,4.0
1995,2.7
1996,3.8
1997,4.5
1998,4.4
1999,4.8
2000,4.1
2001,1.0
2002,1.8
2003,2.8
2004,3.8
2005,3.4
2006,2.7
2007,1.8
2008,-0.3
2009,-2.8
2010,2.5
2011,1.8
2012,2.8
